plan_id,owner_id,type,last_transaction_date,inactivity_days
cb8c7674fddf4a4b9051dbfd2688cde2,8f480d2f4df048bbb68abbcc03283c86,neither,"2024-04-17 08:57:12",366
c2ff2b10c05d4756ad62e603cbc886d9,beddd267ead2416d8f0f5f03293283da,neither,NULL,367
c3454e91338e4187994d7ec06ca41c5d,beddd267ead2416d8f0f5f03293283da,neither,NULL,367
c98bce8ce0c04be4993f791ace01eb90,597524e33ccf47e4ac71b86629dd628a,investment,"2024-04-16 09:25:55",367
53e261b5344943aea1f3ab2477211b4c,beddd267ead2416d8f0f5f03293283da,investment,NULL,367
584dc35372a94f599cc78d060671e6b2,cbdda680d16c4af39541d77c2bf8a1a7,neither,NULL,367
5bb7354efd5846669f2957e1513c8f7f,cbdda680d16c4af39541d77c2bf8a1a7,neither,NULL,367
5fe2426ca3b84c0db4313bd23cfaa97e,c0bbbbe93d65461d95dd01ea6d43cdfb,neither,NULL,368
a5149681a6d04c2a8dcd2e0c79be824b,c0bbbbe93d65461d95dd01ea6d43cdfb,neither,NULL,368
2b0b853f9b8947989eb37e1366bdd3a2,c0bbbbe93d65461d95dd01ea6d43cdfb,savings,NULL,368
0dd9ae24f8004c20b29c5c0f0246e576,2d627710d44b4b0bac98568f5ecb99be,neither,NULL,369
316ddbe6d9a645328705d354874a7fcc,2d627710d44b4b0bac98568f5ecb99be,neither,NULL,369
42bf75427c0e461d82dd66ccb5d6a789,6f9d052d32e54aedb853d1f30811e376,neither,NULL,369
c5d092650e1d450896d5dbca4c16991a,6f9d052d32e54aedb853d1f30811e376,neither,NULL,369
d57c9a058b234b5a9af94d63319d28e8,6b3c091d7d774ccd946f33afa37c96c1,neither,NULL,369
d8b65f4349074e8cb3ecbc44d6c10934,6b3c091d7d774ccd946f33afa37c96c1,neither,NULL,369
a09a374e44654fd2b96212dd18e5174a,6f9d052d32e54aedb853d1f30811e376,neither,"2024-04-14 09:56:51",369
a32a7a09d7744df18ef09d2ce1d2563d,6b3c091d7d774ccd946f33afa37c96c1,neither,NULL,369
a3a436e0849749f49fe6c1423d09f50d,2d627710d44b4b0bac98568f5ecb99be,neither,NULL,369
6f239e18682040619e61130de6b942b8,742da71d7daa46d0801755c883bdc464,neither,"2024-04-12 13:13:32",371
a85b8551bdc942b083f752093143d77b,15379129a69444c98190bfe572f3448e,neither,"2024-04-12 13:20:02",371
